user_id,timestamp,treatment,conversion,revenue,exposure_count,category,channel,event_type
USR_00526,2025-12-16 07:27:33,1,0,0.0,4,Beauty,Email Newsletter,campaign_interaction
USR_01715,2025-12-16 07:31:19,1,0,0.0,11,Sports,Paid Search Ad,campaign_interaction
USR_01485,2025-12-16 07:40:05,1,0,0.0,8,Home,In-App Push Message,campaign_interaction
USR_01790,2025-12-16 07:46:27,1,0,0.0,12,Beauty,Email Newsletter,campaign_interaction
USR_01869,2025-12-16 07:55:42,1,0,0.0,3,Electronics,Retargeting Display Banner,campaign_interaction
USR_01216,2025-12-16 08:00:58,1,1,17141.01,8,Fashion,In-App Push Message,campaign_interaction
USR_00269,2025-12-16 08:01:39,1,0,0.0,11,Electronics,Email Newsletter,campaign_interaction
USR_00879,2025-12-16 08:07:24,1,1,12948.43,7,Beauty,Retargeting Display Banner,campaign_interaction
USR_01611,2025-12-16 08:14:55,1,0,0.0,6,Home,In-App Push Message,campaign_interaction
USR_00580,2025-12-16 08:15:26,1,0,0.0,1,Beauty,Paid Search Ad,campaign_interaction
USR_01869,2025-12-16 08:25:48,1,0,0.0,9,Electronics,Retargeting Display Banner,campaign_interaction
USR_01429,2025-12-16 08:46:48,1,0,0.0,6,Fashion,Email Newsletter,campaign_interaction
USR_00338,2025-12-16 08:48:34,1,0,0.0,7,Sports,Retargeting Display Banner,campaign_interaction
USR_01654,2025-12-16 09:18:42,1,0,0.0,10,Electronics,Retargeting Display Banner,campaign_interaction
USR_00583,2025-12-16 09:32:22,1,0,0.0,11,Electronics,Email Newsletter,campaign_interaction
USR_01249,2025-12-16 09:32:45,0,0,0.0,5,Fashion,In-App Push Message,campaign_interaction
USR_00673,2025-12-16 09:45:07,1,0,0.0,11,Sports,Email Newsletter,campaign_interaction
USR_01880,2025-12-16 09:55:11,1,0,0.0,7,Sports,In-App Push Message,campaign_interaction
USR_00912,2025-12-16 09:55:44,1,0,0.0,12,Beauty,Email Newsletter,campaign_interaction
USR_00613,2025-12-16 09:57:34,1,1,13137.53,10,Sports,Paid Search Ad,campaign_interaction
USR_01724,2025-12-16 10:01:22,0,0,0.0,10,Sports,In-App Push Message,campaign_interaction
USR_00274,2025-12-16 10:33:56,1,0,0.0,12,Sports,Paid Search Ad,campaign_interaction
USR_01113,2025-12-16 10:44:02,1,0,0.0,8,Fashion,Paid Search Ad,campaign_interaction
USR_01447,2025-12-16 10:44:55,0,0,0.0,1,Home,Email Newsletter,campaign_interaction
USR_01565,2025-12-16 10:46:58,1,0,0.0,11,Electronics,Email Newsletter,campaign_interaction
USR_01040,2025-12-16 11:02:07,1,0,0.0,6,Electronics,Retargeting Display Banner,campaign_interaction
USR_01415,2025-12-16 11:11:30,1,0,0.0,12,Sports,In-App Push Message,campaign_interaction
USR_01699,2025-12-16 11:38:02,1,0,0.0,10,Beauty,Email Newsletter,campaign_interaction
USR_01428,2025-12-16 11:44:29,1,0,0.0,4,Fashion,Paid Search Ad,campaign_interaction
USR_00824,2025-12-16 11:47:06,1,0,0.0,6,Fashion,Paid Search Ad,campaign_interaction
USR_00798,2025-12-16 11:48:59,1,0,0.0,1,Fashion,In-App Push Message,campaign_interaction
USR_01657,2025-12-16 12:11:21,1,0,0.0,5,Sports,Paid Search Ad,campaign_interaction
USR_01826,2025-12-16 12:12:20,1,0,0.0,4,Beauty,In-App Push Message,campaign_interaction
USR_01433,2025-12-16 12:20:12,1,0,0.0,10,Home,In-App Push Message,campaign_interaction
USR_00910,2025-12-16 12:35:26,1,0,0.0,6,Sports,Email Newsletter,campaign_interaction
USR_01869,2025-12-16 12:35:28,1,0,0.0,6,Home,Email Newsletter,campaign_interaction
USR_01936,2025-12-16 12:48:08,1,0,0.0,10,Sports,Retargeting Display Banner,campaign_interaction
USR_00499,2025-12-16 13:01:46,1,0,0.0,2,Sports,In-App Push Message,campaign_interaction
USR_01707,2025-12-16 13:03:03,1,0,0.0,10,Home,Email Newsletter,campaign_interaction
USR_01300,2025-12-16 13:16:46,0,1,15618.62,10,Beauty,In-App Push Message,campaign_interaction
USR_00288,2025-12-16 13:42:23,1,1,4493.82,8,Beauty,Retargeting Display Banner,campaign_interaction
USR_00654,2025-12-16 13:46:50,1,0,0.0,1,Fashion,Retargeting Display Banner,campaign_interaction
USR_01884,2025-12-16 13:55:30,0,0,0.0,7,Sports,Email Newsletter,campaign_interaction
USR_00412,2025-12-16 14:03:19,1,0,0.0,2,Sports,Email Newsletter,campaign_interaction
USR_00570,2025-12-16 14:03:24,1,0,0.0,11,Fashion,Paid Search Ad,campaign_interaction
USR_00935,2025-12-16 14:03:43,1,0,0.0,1,Beauty,In-App Push Message,campaign_interaction
USR_01835,2025-12-16 14:15:15,1,0,0.0,1,Fashion,Retargeting Display Banner,campaign_interaction
USR_00055,2025-12-16 14:18:21,0,0,0.0,11,Beauty,Paid Search Ad,campaign_interaction
USR_00063,2025-12-16 14:27:00,1,0,0.0,8,Beauty,Retargeting Display Banner,campaign_interaction
USR_00614,2025-12-16 14:46:56,0,0,0.0,10,Beauty,Retargeting Display Banner,campaign_interaction
USR_00527,2025-12-16 14:51:15,1,0,0.0,7,Home,Paid Search Ad,campaign_interaction
USR_01747,2025-12-16 15:10:53,1,0,0.0,9,Sports,Email Newsletter,campaign_interaction
USR_00897,2025-12-16 15:11:57,1,0,0.0,11,Home,Retargeting Display Banner,campaign_interaction
USR_00315,2025-12-16 15:14:46,1,0,0.0,11,Beauty,Retargeting Display Banner,campaign_interaction
USR_01237,2025-12-16 15:19:26,1,0,0.0,5,Home,Email Newsletter,campaign_interaction
USR_01074,2025-12-16 15:22:22,1,0,0.0,2,Beauty,Retargeting Display Banner,campaign_interaction
USR_00645,2025-12-16 15:27:01,1,0,0.0,2,Electronics,Email Newsletter,campaign_interaction
USR_01545,2025-12-16 15:29:52,1,0,0.0,7,Sports,Paid Search Ad,campaign_interaction
USR_01182,2025-12-16 15:39:56,1,0,0.0,4,Home,Email Newsletter,campaign_interaction
USR_00475,2025-12-16 15:41:49,1,0,0.0,1,Fashion,In-App Push Message,campaign_interaction
USR_00581,2025-12-16 15:43:02,1,0,0.0,4,Home,Retargeting Display Banner,campaign_interaction
USR_01340,2025-12-16 15:49:54,1,0,0.0,12,Beauty,Retargeting Display Banner,campaign_interaction
USR_00033,2025-12-16 16:08:24,1,0,0.0,12,Fashion,Paid Search Ad,campaign_interaction
USR_01909,2025-12-16 16:20:10,1,0,0.0,11,Beauty,In-App Push Message,campaign_interaction
USR_00264,2025-12-16 16:35:40,1,0,0.0,3,Electronics,Retargeting Display Banner,campaign_interaction
USR_00150,2025-12-16 16:50:33,0,0,0.0,12,Fashion,In-App Push Message,campaign_interaction
USR_01077,2025-12-16 17:09:41,1,0,0.0,7,Electronics,Paid Search Ad,campaign_interaction
USR_01051,2025-12-16 17:21:49,1,0,0.0,8,Sports,In-App Push Message,campaign_interaction
USR_01981,2025-12-16 17:36:58,1,0,0.0,2,Beauty,Retargeting Display Banner,campaign_interaction
USR_00441,2025-12-16 17:55:06,1,0,0.0,3,Fashion,Email Newsletter,campaign_interaction
USR_01820,2025-12-16 18:01:09,1,1,10433.09,11,Home,Retargeting Display Banner,campaign_interaction
USR_00763,2025-12-16 18:01:37,0,0,0.0,3,Home,Email Newsletter,campaign_interaction
USR_00027,2025-12-16 18:08:49,1,0,0.0,6,Fashion,Email Newsletter,campaign_interaction
USR_01784,2025-12-16 18:16:16,1,0,0.0,11,Sports,In-App Push Message,campaign_interaction
USR_01388,2025-12-16 18:18:50,1,0,0.0,4,Fashion,Retargeting Display Banner,campaign_interaction
USR_01284,2025-12-16 18:26:15,1,0,0.0,5,Home,In-App Push Message,campaign_interaction
USR_00178,2025-12-16 18:26:39,1,0,0.0,4,Fashion,In-App Push Message,campaign_interaction
USR_00967,2025-12-16 18:26:57,1,0,0.0,4,Electronics,Email Newsletter,campaign_interaction
USR_01243,2025-12-16 18:36:59,1,0,0.0,4,Home,Retargeting Display Banner,campaign_interaction
USR_01212,2025-12-16 18:37:34,1,0,0.0,8,Sports,In-App Push Message,campaign_interaction
USR_00755,2025-12-16 18:38:49,1,0,0.0,5,Fashion,Email Newsletter,campaign_interaction
USR_01930,2025-12-16 18:43:36,1,0,0.0,4,Electronics,In-App Push Message,campaign_interaction
USR_01006,2025-12-16 18:51:53,1,0,0.0,10,Sports,Email Newsletter,campaign_interaction
USR_00098,2025-12-16 18:51:55,0,0,0.0,7,Fashion,Paid Search Ad,campaign_interaction
USR_00566,2025-12-16 18:53:56,0,0,0.0,8,Electronics,In-App Push Message,campaign_interaction
USR_00393,2025-12-16 19:04:34,1,0,0.0,8,Fashion,In-App Push Message,campaign_interaction
USR_00394,2025-12-16 19:11:26,1,0,0.0,2,Beauty,Paid Search Ad,campaign_interaction
USR_00485,2025-12-16 19:13:49,1,0,0.0,12,Fashion,Paid Search Ad,campaign_interaction
USR_01360,2025-12-16 19:47:40,1,0,0.0,3,Electronics,Email Newsletter,campaign_interaction
USR_01682,2025-12-16 19:57:22,0,0,0.0,8,Electronics,Retargeting Display Banner,campaign_interaction
USR_00625,2025-12-16 20:09:13,1,0,0.0,5,Beauty,Retargeting Display Banner,campaign_interaction
USR_01794,2025-12-16 20:17:41,1,0,0.0,12,Fashion,In-App Push Message,campaign_interaction
USR_00110,2025-12-16 20:26:29,1,0,0.0,11,Home,Paid Search Ad,campaign_interaction
USR_00630,2025-12-16 20:29:35,1,0,0.0,9,Home,Retargeting Display Banner,campaign_interaction
USR_01996,2025-12-16 20:32:48,1,0,0.0,4,Fashion,In-App Push Message,campaign_interaction
USR_01407,2025-12-16 20:38:08,0,0,0.0,7,Beauty,Retargeting Display Banner,campaign_interaction
USR_01189,2025-12-16 20:44:02,1,0,0.0,11,Sports,Email Newsletter,campaign_interaction
USR_01757,2025-12-16 21:01:21,1,0,0.0,6,Electronics,Retargeting Display Banner,campaign_interaction
USR_00714,2025-12-16 21:02:26,1,1,2927.03,11,Beauty,Retargeting Display Banner,campaign_interaction
USR_00492,2025-12-16 21:07:03,1,1,18023.83,6,Home,In-App Push Message,campaign_interaction
USR_00865,2025-12-16 21:11:17,1,0,0.0,8,Sports,Retargeting Display Banner,campaign_interaction
USR_01112,2025-12-16 21:13:11,1,0,0.0,7,Home,Retargeting Display Banner,campaign_interaction
USR_00352,2025-12-16 21:34:37,1,0,0.0,2,Home,Paid Search Ad,campaign_interaction
USR_01149,2025-12-16 21:42:30,1,0,0.0,10,Home,Retargeting Display Banner,campaign_interaction
USR_01872,2025-12-16 21:47:02,1,0,0.0,11,Electronics,Paid Search Ad,campaign_interaction
USR_00373,2025-12-16 21:51:36,1,0,0.0,5,Fashion,Paid Search Ad,campaign_interaction
USR_01406,2025-12-16 22:12:37,1,0,0.0,10,Sports,Paid Search Ad,campaign_interaction
USR_00782,2025-12-16 22:15:55,1,0,0.0,4,Electronics,In-App Push Message,campaign_interaction
USR_00200,2025-12-16 22:16:26,1,1,10056.63,2,Fashion,Paid Search Ad,campaign_interaction
USR_00979,2025-12-16 22:29:13,1,0,0.0,2,Electronics,Retargeting Display Banner,campaign_interaction
USR_01032,2025-12-16 22:42:28,1,1,14191.92,3,Beauty,Retargeting Display Banner,campaign_interaction
USR_01952,2025-12-16 22:46:18,1,0,0.0,4,Fashion,Email Newsletter,campaign_interaction
USR_00327,2025-12-16 22:52:04,0,0,0.0,10,Electronics,In-App Push Message,campaign_interaction
USR_01724,2025-12-16 22:55:31,1,0,0.0,6,Beauty,Email Newsletter,campaign_interaction
USR_01305,2025-12-16 22:58:01,1,0,0.0,10,Sports,In-App Push Message,campaign_interaction
USR_01270,2025-12-16 23:13:35,1,0,0.0,10,Fashion,Retargeting Display Banner,campaign_interaction
USR_00838,2025-12-16 23:16:13,0,0,0.0,11,Electronics,Retargeting Display Banner,campaign_interaction
USR_01912,2025-12-16 23:19:56,1,0,0.0,7,Home,Email Newsletter,campaign_interaction
USR_00326,2025-12-16 23:20:56,1,0,0.0,6,Sports,Email Newsletter,campaign_interaction
USR_01897,2025-12-16 23:32:51,1,0,0.0,2,Fashion,In-App Push Message,campaign_interaction
USR_00701,2025-12-16 23:40:34,1,0,0.0,6,Beauty,Email Newsletter,campaign_interaction
USR_00372,2025-12-16 23:49:22,1,0,0.0,12,Home,Email Newsletter,campaign_interaction
USR_00866,2025-12-16 23:58:43,1,0,0.0,10,Beauty,Paid Search Ad,campaign_interaction
USR_00307,2025-12-17 00:03:14,1,0,0.0,9,Home,Retargeting Display Banner,campaign_interaction
USR_01049,2025-12-17 00:05:44,0,0,0.0,6,Beauty,Paid Search Ad,campaign_interaction
USR_00153,2025-12-17 00:26:33,1,0,0.0,12,Fashion,Email Newsletter,campaign_interaction
USR_01364,2025-12-17 00:42:32,1,1,14579.52,4,Beauty,Paid Search Ad,campaign_interaction
USR_00362,2025-12-17 00:49:39,0,0,0.0,9,Fashion,Paid Search Ad,campaign_interaction
USR_01661,2025-12-17 00:52:57,1,0,0.0,5,Beauty,Email Newsletter,campaign_interaction
USR_00238,2025-12-17 01:06:31,1,0,0.0,6,Home,In-App Push Message,campaign_interaction
USR_00089,2025-12-17 01:22:39,1,0,0.0,10,Beauty,Email Newsletter,campaign_interaction
USR_01086,2025-12-17 01:28:14,1,0,0.0,7,Beauty,Retargeting Display Banner,campaign_interaction
USR_00713,2025-12-17 01:38:36,0,0,0.0,7,Beauty,Email Newsletter,campaign_interaction
USR_01079,2025-12-17 01:44:44,1,0,0.0,6,Electronics,Email Newsletter,campaign_interaction
USR_00463,2025-12-17 01:54:06,1,1,4506.72,2,Home,Retargeting Display Banner,campaign_interaction
USR_00655,2025-12-17 01:55:56,0,0,0.0,3,Beauty,In-App Push Message,campaign_interaction
USR_01724,2025-12-17 01:56:38,1,0,0.0,2,Fashion,Retargeting Display Banner,campaign_interaction
USR_00658,2025-12-17 01:57:05,1,0,0.0,5,Sports,Email Newsletter,campaign_interaction
USR_00101,2025-12-17 02:05:31,1,0,0.0,2,Beauty,Email Newsletter,campaign_interaction
USR_00555,2025-12-17 02:24:23,1,0,0.0,7,Fashion,Paid Search Ad,campaign_interaction
USR_00169,2025-12-17 02:25:52,0,0,0.0,1,Beauty,Email Newsletter,campaign_interaction
USR_01437,2025-12-17 02:35:10,1,0,0.0,4,Fashion,Paid Search Ad,campaign_interaction
USR_00313,2025-12-17 02:50:54,1,0,0.0,3,Sports,Paid Search Ad,campaign_interaction
USR_00933,2025-12-17 02:51:57,1,0,0.0,9,Beauty,In-App Push Message,campaign_interaction
USR_00078,2025-12-17 02:59:42,1,0,0.0,12,Beauty,Paid Search Ad,campaign_interaction
USR_01672,2025-12-17 03:01:04,1,0,0.0,8,Home,Paid Search Ad,campaign_interaction
USR_00816,2025-12-17 03:05:36,1,1,17271.62,4,Home,Paid Search Ad,campaign_interaction
USR_01091,2025-12-17 03:13:25,1,0,0.0,10,Electronics,Paid Search Ad,campaign_interaction
USR_00982,2025-12-17 03:34:09,1,0,0.0,9,Sports,In-App Push Message,campaign_interaction
USR_01576,2025-12-17 03:44:03,0,0,0.0,10,Beauty,Retargeting Display Banner,campaign_interaction
USR_01696,2025-12-17 03:46:55,0,0,0.0,9,Sports,Email Newsletter,campaign_interaction
USR_01288,2025-12-17 03:56:09,0,1,5773.75,6,Home,In-App Push Message,campaign_interaction
USR_01635,2025-12-17 03:57:52,0,0,0.0,10,Electronics,In-App Push Message,campaign_interaction
USR_01261,2025-12-17 04:21:37,1,0,0.0,8,Home,Email Newsletter,campaign_interaction
USR_01000,2025-12-17 04:33:00,1,0,0.0,10,Fashion,Paid Search Ad,campaign_interaction
USR_00582,2025-12-17 04:33:54,1,0,0.0,8,Sports,In-App Push Message,campaign_interaction
USR_01511,2025-12-17 04:34:37,1,0,0.0,9,Fashion,Paid Search Ad,campaign_interaction
USR_01692,2025-12-17 04:36:35,1,0,0.0,11,Sports,Paid Search Ad,campaign_interaction
USR_01926,2025-12-17 04:38:12,1,0,0.0,8,Sports,Retargeting Display Banner,campaign_interaction
USR_00645,2025-12-17 04:38:45,1,0,0.0,6,Home,In-App Push Message,campaign_interaction
USR_01266,2025-12-17 04:46:10,1,0,0.0,1,Electronics,Email Newsletter,campaign_interaction
USR_01577,2025-12-17 04:47:07,1,0,0.0,10,Electronics,Paid Search Ad,campaign_interaction
USR_01113,2025-12-17 04:56:49,0,1,10494.51,2,Home,In-App Push Message,campaign_interaction
USR_00354,2025-12-17 04:57:38,1,0,0.0,10,Fashion,In-App Push Message,campaign_interaction
USR_01921,2025-12-17 04:58:47,1,1,12836.55,6,Beauty,Email Newsletter,campaign_interaction
USR_00166,2025-12-17 05:04:25,1,0,0.0,11,Sports,In-App Push Message,campaign_interaction
USR_01366,2025-12-17 05:17:38,1,1,2567.24,12,Electronics,Retargeting Display Banner,campaign_interaction
USR_00772,2025-12-17 05:18:40,1,0,0.0,3,Sports,Paid Search Ad,campaign_interaction
USR_01587,2025-12-17 05:22:42,1,0,0.0,2,Fashion,Retargeting Display Banner,campaign_interaction
USR_01695,2025-12-17 05:39:10,1,0,0.0,2,Sports,Paid Search Ad,campaign_interaction
USR_01252,2025-12-17 06:06:58,0,0,0.0,11,Electronics,Retargeting Display Banner,campaign_interaction
USR_00547,2025-12-17 06:07:54,1,0,0.0,9,Fashion,In-App Push Message,campaign_interaction
USR_00750,2025-12-17 06:14:45,1,0,0.0,9,Sports,Email Newsletter,campaign_interaction
USR_00583,2025-12-17 06:19:34,1,0,0.0,10,Sports,Paid Search Ad,campaign_interaction
USR_00280,2025-12-17 06:22:19,1,1,6276.95,3,Beauty,Paid Search Ad,campaign_interaction
USR_01298,2025-12-17 06:22:30,1,0,0.0,11,Fashion,Retargeting Display Banner,campaign_interaction
USR_00651,2025-12-17 06:55:07,1,0,0.0,4,Electronics,Retargeting Display Banner,campaign_interaction
USR_01077,2025-12-17 06:58:31,1,1,4444.76,3,Sports,In-App Push Message,campaign_interaction
USR_00804,2025-12-17 07:03:01,1,0,0.0,1,Sports,Paid Search Ad,campaign_interaction
USR_01429,2025-12-17 07:06:43,1,1,16654.93,12,Home,Retargeting Display Banner,campaign_interaction
USR_01946,2025-12-17 07:09:43,1,1,6617.72,7,Fashion,Email Newsletter,campaign_interaction
USR_00767,2025-12-17 07:16:16,1,0,0.0,2,Fashion,Retargeting Display Banner,campaign_interaction
USR_00621,2025-12-17 07:30:56,1,0,0.0,7,Sports,Paid Search Ad,campaign_interaction
USR_00830,2025-12-17 07:35:32,1,0,0.0,7,Electronics,Retargeting Display Banner,campaign_interaction
USR_01056,2025-12-17 07:46:20,1,0,0.0,2,Home,Paid Search Ad,campaign_interaction
USR_01000,2025-12-17 07:52:55,1,1,5349.46,11,Sports,Retargeting Display Banner,campaign_interaction
USR_01792,2025-12-17 07:58:39,1,0,0.0,12,Electronics,Paid Search Ad,campaign_interaction
USR_00614,2025-12-17 08:51:10,1,0,0.0,2,Fashion,In-App Push Message,campaign_interaction
USR_00427,2025-12-17 08:54:18,1,0,0.0,3,Beauty,Email Newsletter,campaign_interaction
USR_00301,2025-12-17 09:04:01,1,0,0.0,10,Home,Retargeting Display Banner,campaign_interaction
USR_01416,2025-12-17 09:11:21,1,1,8451.3,4,Sports,Retargeting Display Banner,campaign_interaction
USR_00043,2025-12-17 09:27:40,1,1,17992.93,6,Sports,Paid Search Ad,campaign_interaction
USR_00204,2025-12-17 09:34:56,0,0,0.0,11,Home,In-App Push Message,campaign_interaction
USR_01869,2025-12-17 09:36:11,1,0,0.0,9,Electronics,Retargeting Display Banner,campaign_interaction
USR_01096,2025-12-17 09:36:32,1,0,0.0,12,Sports,Email Newsletter,campaign_interaction
USR_01690,2025-12-17 09:51:27,1,0,0.0,5,Fashion,Retargeting Display Banner,campaign_interaction
USR_01625,2025-12-17 09:52:17,1,0,0.0,10,Sports,In-App Push Message,campaign_interaction
USR_00852,2025-12-17 10:01:44,1,0,0.0,8,Fashion,Retargeting Display Banner,campaign_interaction
USR_00149,2025-12-17 10:18:55,1,0,0.0,6,Electronics,In-App Push Message,campaign_interaction
USR_01767,2025-12-17 10:29:41,0,0,0.0,1,Beauty,In-App Push Message,campaign_interaction
USR_00035,2025-12-17 10:41:19,0,0,0.0,8,Fashion,Paid Search Ad,campaign_interaction
USR_01472,2025-12-17 10:45:57,1,1,16494.93,10,Electronics,In-App Push Message,campaign_interaction
USR_00213,2025-12-17 10:47:07,1,0,0.0,5,Home,Retargeting Display Banner,campaign_interaction
USR_00514,2025-12-17 10:47:54,1,1,11932.36,3,Sports,In-App Push Message,campaign_interaction
USR_01526,2025-12-17 11:32:16,1,1,6477.68,3,Home,Paid Search Ad,campaign_interaction
USR_00752,2025-12-17 11:41:15,1,1,3375.12,10,Sports,Retargeting Display Banner,campaign_interaction
USR_00622,2025-12-17 11:43:30,1,0,0.0,4,Beauty,Retargeting Display Banner,campaign_interaction
USR_01489,2025-12-17 12:08:23,1,0,0.0,2,Sports,Retargeting Display Banner,campaign_interaction
USR_00618,2025-12-17 12:09:34,1,1,4596.24,4,Beauty,Paid Search Ad,campaign_interaction
USR_01814,2025-12-17 12:16:22,1,0,0.0,3,Beauty,Retargeting Display Banner,campaign_interaction
USR_00381,2025-12-17 12:17:59,0,0,0.0,2,Electronics,Retargeting Display Banner,campaign_interaction
USR_00085,2025-12-17 12:44:46,1,1,12551.52,1,Beauty,In-App Push Message,campaign_interaction
USR_00727,2025-12-17 12:45:35,1,0,0.0,3,Beauty,Retargeting Display Banner,campaign_interaction
USR_01804,2025-12-17 12:51:30,1,0,0.0,2,Beauty,Paid Search Ad,campaign_interaction
USR_00019,2025-12-17 13:00:54,0,0,0.0,5,Home,In-App Push Message,campaign_interaction
